method,yaw_init_error_deg,trial,success,converged_2deg,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,cost,nfev,condition,tilt_yaw_coupling
uv_joint,60.0,5,True,True,0.017525382028499396,-0.016692485669962506,-0.006503599815454194,0.0031991152860392324,243.3056367520259,17,2.0834359340930355,0.09576426841272193
polar_plain_joint,60.0,5,True,True,0.16672606256469683,-0.04268254204913717,-0.032502398617696424,0.16776444617430758,482.7258695618774,23,2.0797827235235222,0.09592237705301418
polar_cov_joint,60.0,5,True,True,0.012491770885121553,-0.012700169382697411,-0.0016311332449830149,0.0023546780467293,221.29599707318573,14,2.0840008530982224,0.0957348504343926
polar_staged,60.0,5,True,True,0.012491747077168332,-0.012700146225301414,-0.0016311226387952702,0.0023546744254133506,221.29599707319144,32,2.0840008552462126,0.09573485035211746
uv_joint,60.0,6,True,True,0.0175253811134581,-0.01669248448802863,-0.006503600341131501,0.003199114815364848,243.30563675202637,12,2.0834359341190978,0.09576426840389175
polar_plain_joint,60.0,6,True,True,0.1667262111566349,-0.04268222958961644,-0.03250221849856403,0.1677646494467569,482.7258695621862,22,2.079782762541018,0.09592237590572167
polar_cov_joint,60.0,6,True,True,0.012491770885121553,-0.012700169428780467,-0.0016311333090441573,0.0023546781604055047,221.29599707318638,15,2.0840008529550538,0.09573485043033643
polar_staged,60.0,6,True,True,0.012491747077168332,-0.012700146189165542,-0.001631122541405096,0.002354674124873197,221.29599707319082,23,2.084000855470629,0.09573485035238062
uv_joint,60.0,7,True,True,0.01752538127982925,-0.016692484589835004,-0.006503600384234377,0.003199114736270814,243.30563675202689,12,2.083435934150144,0.09576426842602749
polar_plain_joint,60.0,7,True,True,0.16672609549041179,-0.0426826241795225,-0.032502355869010714,0.16776448711115058,482.72586956205873,16,2.07978271797226,0.09592237685938604
polar_cov_joint,60.0,7,True,True,0.012491772227235213,-0.01270017073667385,-0.0016311337324777632,0.0023546782384594976,221.29599707318604,16,2.0840008527756577,0.09573485044133913
polar_staged,60.0,7,True,True,0.01249174701881545,-0.012700146190938701,-0.0016311225389179019,0.0023546742165208804,221.29599707319034,20,2.0840008554829565,0.09573485035199499
uv_joint,60.0,8,True,True,0.017525381196643673,-0.016692484578043097,-0.006503600370400556,0.0031991146282559966,243.30563675202552,15,2.0834359340071336,0.09576426841752059
polar_plain_joint,60.0,8,True,True,0.1667258701430336,-0.042682487393054275,-0.032502614887008556,0.16776420064820205,482.72586956369867,23,2.0797827178324013,0.09592237826756876
polar_cov_joint,60.0,8,True,True,0.012491771702060318,-0.012700170153946935,-0.0016311336606338036,0.002354678409989992,221.29599707318684,16,2.0840008528673093,0.09573485042616431
polar_staged,60.0,8,True,True,0.01249174701881545,-0.012700146238053848,-0.0016311225697979075,0.002354674322363379,221.29599707319088,29,2.0840008555133798,0.09573485034858041
uv_joint,60.0,9,True,True,0.0175253811134581,-0.016692484436915525,-0.006503600472423207,0.00319911504364598,243.30563675202433,13,2.083435934253308,0.09576426839122819
polar_plain_joint,60.0,9,True,True,0.16672613999323674,-0.04268250727481768,-0.03250231137258159,0.16776454677140054,482.72586956140293,17,2.0797827312873873,0.09592237654418964
polar_cov_joint,60.0,9,True,True,0.012491782147201263,-0.012700180342045996,-0.0016311387519035295,0.002354679799873304,221.2959970731867,13,2.0840008518882542,0.09573485046414774
polar_staged,60.0,9,True,True,0.012491746960462569,-0.012700146141347492,-0.0016311225477264482,0.00235467415052437,221.29599707319008,26,2.0840008554641836,0.09573485036250848
